"gene","trans","speciesMatch","chr","five_prime_UTR","three_prime_UTR","evalue","bitScore","rawValue","percentMatch","other","proteinMatch"
"Zm00001d011700","Zm00001d011700_T001","rice","8","159172370","159180776",0,1820,2130,82.3,1753,"Os01t0709500-03"
"Zm00001d011700","Zm00001d011700_T001","rice","8","159172370","159180776",0,1210,1392,82.543,1149,"Os01t0709500-04"
"Zm00001d011700","Zm00001d011700_T012","sorghum","8","159172534","159175569",0,682,411,96.594,397,"OQU87406"
"Zm00001d011700","Zm00001d011700_T012","sorghum","8","159172534","159175569",0,682,411,96.594,397,"OQU87405"
"Zm00001d011700","Zm00001d011700_T012","sorghum","8","159172534","159175569",0,682,411,96.594,397,"OQU87404"
"Zm00001d011700","Zm00001d011700_T012","sorghum","8","159172534","159175569",0,682,408,96.814,395,"KXG33225"
"Zm00001d011700","Zm00001d011700_T012","sorghum","8","159172534","159175569",0,682,408,96.814,395,"KXG33228"
"Zm00001d011700","Zm00001d011700_T012","sorghum","8","159172534","159175569",0,682,408,96.814,395,"KXG33227"
"Zm00001d011700","Zm00001d011700_T012","sorghum","8","159172534","159175569",0,682,408,96.814,395,"KXG33226"
"Zm00001d011700","Zm00001d011700_T012","setaria","8","159172534","159175569",2.28e-163,577,409,92.176,377,"KQL06660"
"Zm00001d011700","Zm00001d011700_T012","brachypodium","8","159172534","159175569",2.41e-123,444,401,86.783,348,"KQK09429"
"Zm00001d011700","Zm00001d011700_T012","brachypodium","8","159172534","159175569",2.41e-123,444,401,86.783,348,"KQK09428"
"Zm00001d011700","Zm00001d011700_T012","brachypodium","8","159172534","159175569",2.41e-123,444,401,86.783,348,"KQK09427"
"Zm00001d011700","Zm00001d011700_T012","brachypodium","8","159172534","159175569",2.41e-123,444,401,86.783,348,"PNT72693"
"Zm00001d011700","Zm00001d011700_T012","rice","8","159172534","159175569",1.12e-121,438,407,86.241,351,"Os01t0709500-04"
"Zm00001d011700","Zm00001d011700_T012","rice","8","159172534","159175569",1.12e-121,438,407,86.241,351,"Os01t0709500-03"
"Zm00001d011700","Zm00001d011700_T009","sorghum","8","159172500","159180776",0,1921,1178,96.095,1132,"KXG33225"
"Zm00001d011700","Zm00001d011700_T009","sorghum","8","159172500","159180776",0,1921,1178,96.095,1132,"KXG33228"
"Zm00001d011700","Zm00001d011700_T009","sorghum","8","159172500","159180776",0,1921,1178,96.095,1132,"KXG33227"
"Zm00001d011700","Zm00001d011700_T009","sorghum","8","159172500","159180776",0,1921,1178,96.095,1132,"KXG33226"
"Zm00001d011700","Zm00001d011700_T009","sorghum","8","159172500","159180776",0,1882,1178,95.586,1126,"OQU87406"
"Zm00001d011700","Zm00001d011700_T009","sorghum","8","159172500","159180776",0,1882,1178,95.586,1126,"OQU87405"
"Zm00001d011700","Zm00001d011700_T009","sorghum","8","159172500","159180776",0,1882,1178,95.586,1126,"OQU87404"
"Zm00001d011700","Zm00001d011700_T009","setaria","8","159172500","159180776",0,1618,1177,91.589,1078,"KQL06660"
"Zm00001d011700","Zm00001d011700_T009","rice","8","159172500","159180776",0,1225,1171,85.653,1003,"Os01t0709500-03"
"Zm00001d011700","Zm00001d011700_T009","brachypodium","8","159172500","159180776",0,1162,1185,84.557,1002,"KQK09429"
"Zm00001d011700","Zm00001d011700_T009","brachypodium","8","159172500","159180776",0,1162,1185,84.557,1002,"KQK09428"
"Zm00001d011700","Zm00001d011700_T009","brachypodium","8","159172500","159180776",0,1162,1185,84.557,1002,"KQK09427"
"Zm00001d011700","Zm00001d011700_T009","brachypodium","8","159172500","159180776",0,1162,1185,84.557,1002,"PNT72693"
"Zm00001d011700","Zm00001d011700_T009","rice","8","159172500","159180776",0,752,709,85.896,609,"Os01t0709500-04"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",0,3738,2507,93.698,2349,"KXG33225"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",0,3738,2507,93.698,2349,"KXG33228"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",2.48e-64,250,167,94.012,157,"KXG33228"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",0,3738,2507,93.698,2349,"KXG33227"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",7.79e-159,564,412,91.748,378,"KXG33227"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",0,3738,2507,93.698,2349,"KXG33226"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",6.7e-85,318,247,90.283,223,"KXG33226"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",0,3699,2507,93.458,2343,"OQU87406"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",7.79e-159,564,412,91.748,378,"OQU87406"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",0,3699,2507,93.458,2343,"OQU87405"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",2.48e-64,250,167,94.012,157,"OQU87405"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",0,3699,2507,93.458,2343,"OQU87404"
"Zm00001d011700","Zm00001d011700_T003","sorghum","8","159172370","159181013",6.7e-85,318,247,90.283,223,"OQU87404"
"Zm00001d011700","Zm00001d011700_T003","setaria","8","159172370","159181013",0,2948,2511,88.132,2213,"KQL06660"
"Zm00001d011700","Zm00001d011700_T003","setaria","8","159172370","159181013",1.15e-62,244,237,85.654,203,"KQL06660"
"Zm00001d011700","Zm00001d011700_T003","brachypodium","8","159172370","159181013",0,1921,2546,80.715,2055,"KQK09429"
"Zm00001d011700","Zm00001d011700_T003","brachypodium","8","159172370","159181013",0,1921,2546,80.715,2055,"KQK09428"
"Zm00001d011700","Zm00001d011700_T003","brachypodium","8","159172370","159181013",0,1921,2546,80.715,2055,"KQK09427"
"Zm00001d011700","Zm00001d011700_T003","brachypodium","8","159172370","159181013",0,1921,2546,80.715,2055,"PNT72693"
"Zm00001d011700","Zm00001d011700_T003","rice","8","159172370","159181013",0,1820,2130,82.3,1753,"Os01t0709500-03"
"Zm00001d011700","Zm00001d011700_T003","rice","8","159172370","159181013",0,1210,1392,82.543,1149,"Os01t0709500-04"
"Zm00001d011700","Zm00001d011700_T008","sorghum","8","159172469","159180776",0,3751,2514,93.715,2356,"KXG33225"
"Zm00001d011700","Zm00001d011700_T008","sorghum","8","159172469","159180776",0,3751,2514,93.715,2356,"KXG33228"
"Zm00001d011700","Zm00001d011700_T008","sorghum","8","159172469","159180776",0,3751,2514,93.715,2356,"KXG33227"
